sourceRecordId,rawEntityName,normalizedEntityName,canonicalEntityId,canonicalEntityName,matchStrategy,confidence,aliasesUsed,domainsUsed,resolverVersion,timestamp,unresolvedReason
PRODUCT:3737,akazwz/hostc,akazwz hostc,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845908+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:3829,ship-studio/ship-studio,ship studio ship studio,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845917+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:3103,Spielewoy/autoprompt-skill,spielewoy autoprompt skill,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845919+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:3751,bmf-san/ggc,bmf san ggc,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845920+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:3774,ferama/rospo,ferama rospo,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845921+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:3090,cortesi/modd,cortesi modd,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845921+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:3573,flexsurfer/re-frisk,flexsurfer re frisk,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845922+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:28,Node.js,node js,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845922+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:2959,semantica-agi/semantica,semantica agi semantica,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845923+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:3772,jens-duttke/usage-monitor-for-claude,jens duttke usage monitor for claude,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845924+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:3418,victorb/trymodule,victorb trymodule,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845925+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:3016,devspace-sh/devspace,devspace sh devspace,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845925+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:3338,kubewall/kubewall,kubewall kubewall,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845926+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:3034,iterative/cml,iterative cml,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845926+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:3122,zhu1090093659/spec_driven_develop,zhu1090093659 spec_driven_develop,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845927+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:3679,dollspace-gay/chainlink,dollspace gay chainlink,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845928+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:2948,GoogleContainerTools/skaffold,googlecontainertools skaffold,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845928+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:3340,joealcorn/laboratory,joealcorn laboratory,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845929+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:2899,localstack/localstack,localstack localstack,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845930+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:3612,RealZST/HarnessKit,realzst harnesskit,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845931+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:3075,danvergara/dblab,danvergara dblab,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845931+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:3264,timholy/Revise.jl,timholy revise jl,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845932+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:3841,oldjs/web-code-agent,oldjs web code agent,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845933+00:00,NO_MATCHING_ENTITY_FOUND
PRODUCT:3844,nrwl/nx-recipes,nrwl nx recipes,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.845933+00:00,NO_MATCHING_ENTITY_FOUND
