schemaVersion,recordType,source_name,source_url,collectedAt,entityName,employeeCount
1.0,STARTUP,Wikidata,https://about.google/,2026-09-10T04:39:50.773910+00:00,Google,187000
1.0,STARTUP,Wikidata,https://www.intel.com,2026-09-10T04:39:50.784257+00:00,Intel,121100
1.0,STARTUP,Wikidata,https://apple.com.cn/,2026-09-10T04:39:50.787567+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/,2026-09-10T04:39:50.790417+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/ae-ar/,2026-09-10T04:39:50.793240+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/ae/,2026-09-10T04:39:50.795765+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/am/,2026-09-10T04:39:50.798044+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/at/,2026-09-10T04:39:50.800124+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/au/,2026-09-10T04:39:50.802175+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/az/,2026-09-10T04:39:50.804144+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/befr/,2026-09-10T04:39:50.805970+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/benl/,2026-09-10T04:39:50.807795+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/bg/,2026-09-10T04:39:50.809746+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/bh-ar/,2026-09-10T04:39:50.812187+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/bh/,2026-09-10T04:39:50.814156+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/br/,2026-09-10T04:39:50.815992+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/bw/,2026-09-10T04:39:50.817730+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/by/,2026-09-10T04:39:50.819518+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/ca/,2026-09-10T04:39:50.821375+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/ca/fr/,2026-09-10T04:39:50.823314+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,http://www.viverso.com/,2026-09-10T04:43:56.631150+00:00,Viverso,
1.0,STARTUP,Wikidata,http://www.millenniumbcp.pt,2026-09-10T04:43:56.644060+00:00,Banco Comercial Português,
1.0,STARTUP,Wikidata,http://www.baldwinpiano.com,2026-09-10T04:43:56.648352+00:00,Baldwin Piano Company,
1.0,STARTUP,Wikidata,https://kmbs.konicaminolta.us/,2026-09-10T04:43:56.651928+00:00,Konica Minolta,36000
1.0,STARTUP,Wikidata,https://www.kyosho.com/,2026-09-10T04:43:56.655475+00:00,Kyosho,
1.0,STARTUP,Wikidata,http://www.tgw-group.com/,2026-09-10T04:43:56.659024+00:00,TGW Logistics Group,2000
1.0,STARTUP,Wikidata,http://www.apachecorp.com,2026-09-10T04:43:56.662038+00:00,APA Corporation,
1.0,STARTUP,Wikidata,https://www.nymex.com,2026-09-10T04:43:56.666245+00:00,New York Mercantile Exchange,
1.0,STARTUP,Wikidata,https://www.finix-comics.de/,2026-09-10T04:43:56.669605+00:00,Finix Comics,
1.0,STARTUP,Wikidata,http://www.agrosuper.cl,2026-09-10T04:43:56.672199+00:00,Agrosuper,
1.0,STARTUP,Wikidata,https://www.riedel.com/,2026-09-10T04:43:56.675345+00:00,Riedel,
1.0,STARTUP,Wikidata,https://www.vodafone.com/,2026-09-10T04:43:56.677651+00:00,Vodafone,96506
1.0,STARTUP,Wikidata,https://www.shochiku.co.jp/,2026-09-10T04:43:56.680621+00:00,Shochiku,
1.0,STARTUP,Wikidata,https://www.shochikufilms.com/,2026-09-10T04:43:56.684564+00:00,Shochiku,
1.0,STARTUP,Wikidata,http://www.vinbud.is/,2026-09-10T04:43:56.687255+00:00,Vínbúð,
1.0,STARTUP,Wikidata,http://www.istithmarworld.com/,2026-09-10T04:43:56.690203+00:00,Istithmar World,
1.0,STARTUP,Wikidata,http://www.coalindia.in/,2026-09-10T04:43:56.693076+00:00,Coal India,
1.0,STARTUP,Wikidata,https://www.anheuser-busch.com/,2026-09-10T04:43:56.695577+00:00,Anheuser-Busch,30849
1.0,STARTUP,Wikidata,https://www.mta.info/lirr/,2026-09-10T04:43:56.697633+00:00,Long Island Rail Road,
1.0,STARTUP,Wikidata,http://www.credicorpnet.com,2026-09-10T04:43:56.700776+00:00,Credicorp,
1.0,STARTUP,Wikidata,http://www.ippe.ru,2026-09-10T04:43:56.703085+00:00,Institute of Physics and Power Engineering JSC,
1.0,STARTUP,Wikidata,http://www.arsedition.de/,2026-09-10T04:43:56.705680+00:00,arsEdition,
1.0,STARTUP,Wikidata,http://www.koerting.de/,2026-09-10T04:43:56.708505+00:00,Körting Hannover,
1.0,STARTUP,Wikidata,http://www.voith.com,2026-09-10T04:43:56.710816+00:00,Voith Group,
1.0,STARTUP,Wikidata,http://www.albemarle.com/,2026-09-10T04:43:56.712669+00:00,Albemarle Corporation,
1.0,STARTUP,Wikidata,https://www.dwfitnessfirst.com,2026-09-10T04:43:56.715501+00:00,Fitness First,
1.0,STARTUP,Wikidata,https://www.mynewsdesk.com/,2026-09-10T04:43:56.718513+00:00,Mynewsdesk,
1.0,STARTUP,Wikidata,https://www.paulaner-gruppe.de,2026-09-10T04:43:56.720869+00:00,Paulaner Brewery,
1.0,STARTUP,Wikidata,https://www.paulaner.de,2026-09-10T04:43:56.723161+00:00,Paulaner Brewery,
1.0,STARTUP,Wikidata,https://www.belk.com/,2026-09-10T04:43:56.725411+00:00,Belk,
1.0,STARTUP,Wikidata,https://www.pixar.com/,2026-09-10T04:43:56.727795+00:00,Pixar,1233
1.0,STARTUP,Wikidata,https://www.levi.com/,2026-09-10T04:43:56.730079+00:00,Levi Strauss & Co.,
1.0,STARTUP,Wikidata,http://www.nhnst.com/,2026-09-10T04:43:56.732608+00:00,NHN Service Technology,
1.0,STARTUP,Wikidata,https://www.ab-inbev.com/,2026-09-10T04:43:56.734853+00:00,Anheuser-Busch InBev,166632
1.0,STARTUP,Wikidata,https://www.amd.com/,2026-09-10T04:43:56.736873+00:00,AMD,15500
1.0,STARTUP,Wikidata,https://www.mtu.de,2026-09-10T04:43:56.738760+00:00,MTU Aero Engines,10313
1.0,STARTUP,Wikidata,https://www.kostal.com/,2026-09-10T04:43:56.741594+00:00,Kostal,
1.0,STARTUP,Wikidata,https://www.scandichotelsgroup.com/,2026-09-10T04:43:56.744025+00:00,Scandic Hotels Group,10003
1.0,STARTUP,Wikidata,http://www.wwe.com/classics/wcw/,2026-09-10T04:43:56.745847+00:00,World Championship Wrestling,150
1.0,STARTUP,Wikidata,https://www.ncl.com/,2026-09-10T04:43:56.747567+00:00,Norwegian Cruise Line,
1.0,STARTUP,Wikidata,http://www.kuazot.ru,2026-09-10T04:43:56.749975+00:00,KuibyshevAzot,5500
1.0,STARTUP,Wikidata,https://www.reuters.com/,2026-09-10T04:43:56.752025+00:00,Reuters,2500
1.0,STARTUP,Wikidata,http://www.clypg.com.cn/,2026-09-10T04:43:56.753910+00:00,Longyuan Power,
1.0,STARTUP,Wikidata,https://tnawrestling.com/,2026-09-10T04:43:56.755946+00:00,Total Nonstop Action Wrestling,
1.0,STARTUP,Wikidata,http://www.schecterguitars.com,2026-09-10T04:43:56.758239+00:00,Schecter Guitar Research,
1.0,STARTUP,Wikidata,https://www.htm.nl/,2026-09-10T04:43:56.760172+00:00,HTM Personenvervoer,
1.0,STARTUP,Wikidata,https://epoch.jp,2026-09-10T04:43:56.761942+00:00,Epoch Co.,
1.0,STARTUP,Wikidata,http://www.cd-adapco.com/,2026-09-10T04:43:56.764017+00:00,CD-adapco,
1.0,STARTUP,Wikidata,https://ccmhockey.com/,2026-09-10T04:43:56.766403+00:00,CCM,
1.0,STARTUP,Wikidata,http://www.amazone.de/,2026-09-10T04:43:56.768492+00:00,Bodenbearbeitungsgerätewerk Leipzig,
1.0,STARTUP,Wikidata,https://www.alexanderbaldwin.com,2026-09-10T04:43:56.770676+00:00,Alexander & Baldwin,
1.0,STARTUP,Wikidata,http://www.alcoa.com,2026-09-10T04:43:56.772842+00:00,Alcoa,61000
1.0,STARTUP,Wikidata,http://www.zag.de,2026-09-10T04:43:56.774996+00:00,ZAG – Zeitarbeits-Gesellschaft,8464
1.0,STARTUP,Wikidata,http://www.zapworld.com/,2026-09-10T04:43:56.776866+00:00,ZAP,
1.0,STARTUP,Wikidata,https://www.zeag-energie.de,2026-09-10T04:43:56.778575+00:00,ZEAG Energie,
1.0,STARTUP,Wikidata,http://www.zemag-zeitz.com/,2026-09-10T04:43:56.780259+00:00,ZEMAG,
1.0,STARTUP,Wikidata,http://zfv.ch/de/unternehmen/,2026-09-10T04:43:56.782538+00:00,Zürcher Frauenverein für alkoholfreie Wirtschaften,
1.0,STARTUP,Wikidata,https://www.cherry.de/,2026-09-10T04:43:56.784618+00:00,Cherry SE,
1.0,STARTUP,Wikidata,http://www.bosch-automotive-steering.com/,2026-09-10T04:43:56.786475+00:00,Robert Bosch Automotive Steering,
1.0,STARTUP,Wikidata,http://www.zf.com/,2026-09-10T04:43:56.788155+00:00,ZF Passau,
1.0,STARTUP,Wikidata,https://apple.com/tn/,2026-09-10T04:43:56.790306+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/tr/,2026-09-10T04:43:56.792340+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/tw/,2026-09-10T04:43:56.794206+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/ua/,2026-09-10T04:43:56.795920+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/ug/,2026-09-10T04:43:56.797663+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/uk/,2026-09-10T04:43:56.800055+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/uz/,2026-09-10T04:43:56.802290+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/vn/,2026-09-10T04:43:56.804187+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/za/,2026-09-10T04:43:56.806003+00:00,Apple Inc.,164000
